average salary,job title,seniority,location,company name,size,type of ownership,python,rstudio,sql,aws,pytorch,sas,excel
102500.0,data analyst,unspecified,Mississauga,OSL Retail Services,5001 to 10000 employees,Company - Private,0,0,1,0,0,1,1
102500.0,data engineer,unspecified,Ottawa,Telesat Holding,201 to 500 employees,Subsidiary or Business Segment,1,0,1,1,0,0,1
102500.0,data engineer,unspecified,Montreal,Paytm Labs,51 to 200 employees,Company - Private,1,0,0,1,0,0,0
102500.0,data engineer,unspecified,Toronto,Scotiabank,10000+ employees,Company - Public,1,0,1,1,0,0,0
102500.0,data analyst,unspecified,Surrey,Fraser Health,10000+ employees,Hospital,0,0,0,0,0,1,1
102500.0,data analyst,unspecified,Toronto,BMO Financial Group,10000+ employees,Company - Public,1,0,1,1,0,1,0
102500.0,data engineer,unspecified,Toronto,SADA,51 to 200 employees,Company - Private,1,0,1,1,0,1,0
102500.0,data engineer,unspecified,Toronto,Indoc Research,1 to 50 employees,Non-profit Organisation,1,0,1,1,0,0,0
102500.0,data engineer,unspecified,Montreal,Bell Canada,10000+ employees,Company - Public,0,0,1,0,0,1,1
102500.0,statistician,unspecified,Mississauga,Roche,10000+ employees,Company - Public,0,0,0,0,0,0,1
102500.0,machine learning engineer,unspecified,Montreal,Roche,1 to 50 employees,Company - Private,1,0,0,1,1,0,0
102500.0,data engineer,unspecified,Mississauga,IMAX Corporation,501 to 1000 employees,Company - Public,1,0,1,1,0,0,0
102500.0,data scientist,intern,Quebec,Intact,10000+ employees,Company - Public,1,0,0,1,0,0,0
102500.0,data scientist,senior,Brampton,Joe Fresh,201 to 500 employees,Subsidiary or Business Segment,1,0,1,1,0,0,0
96000.0,data scientist,senior,Toronto,Rubikloud Technologies,51 to 200 employees,Company - Private,1,0,1,1,0,0,0
96000.0,data scientist,unspecified,Vancouver,"Connor, Clark & Lunn Financial Group",201 to 500 employees,Company - Private,0,0,0,0,0,0,0
96000.0,data scientist,unspecified,Vancouver,NumerixS Quant,Unknown,Company - Private,1,0,0,1,0,0,1
96000.0,machine learning engineer,unspecified,Toronto,Amazon,10000+ employees,Company - Public,1,0,0,1,0,0,0
96000.0,data scientist,senior,Montreal,Unity Technologies,1001 to 5000 employees,Company - Private,0,0,0,0,0,0,0
96000.0,data engineer,unspecified,Waterloo,RideCo,Unknown,Company - Public,1,0,1,1,0,0,1
96000.0,data analyst,unspecified,Richmond,PressReader,51 to 200 employees,Company - Private,1,0,1,1,0,0,0
96000.0,data engineer,unspecified,Toronto,Arrow Digital,51 to 200 employees,Company - Private,1,1,1,1,0,0,1
96000.0,research scientist,unspecified,Richmond,Applied Biological Materials Inc,51 to 200 employees,Company - Private,0,0,0,0,0,0,1
96000.0,data scientist,senior,Montreal,SSENSE,501 to 1000 employees,Company - Private,1,0,1,1,0,0,1
96000.0,data engineer,unspecified,Montreal,Coveo,51 to 200 employees,Company - Private,1,0,1,1,0,0,0
96000.0,data scientist,senior,Woodbridge,407 ETR,201 to 500 employees,Company - Private,1,0,0,1,0,1,0
96000.0,business intelligent analyst,unspecified,Montreal,Bell Canada,10000+ employees,Company - Public,1,0,1,1,0,1,1
96000.0,data analyst,unspecified,Montreal,Banque Nationale du Canada,10000+ employees,Company - Public,0,0,0,0,0,0,0
96000.0,research scientist,unspecified,Chalk River,Canadian Nuclear Laboratories,1001 to 5000 employees,Company - Private,0,0,0,0,0,0,0
96000.0,data analyst,unspecified,Montreal,Desjardins,10000+ employees,Company - Private,0,0,0,0,0,0,0
96000.0,data engineer,unspecified,Ottawa,Veem,51 to 200 employees,Company - Private,1,0,1,1,0,0,1
96000.0,data analyst,unspecified,Toronto,Tucows,501 to 1000 employees,Company - Public,1,0,1,1,0,0,1
96000.0,data scientist,senior,Woodbridge,Fuze HR Solutions,51 to 200 employees,Company - Private,1,0,0,1,0,1,0
96000.0,machine learning engineer,unspecified,Vancouver,Prenuvo Inc,1 to 50 employees,Company - Private,0,0,0,0,0,0,0
96000.0,data analyst,unspecified,Mississauga,AXIS Database Marketing,1 to 50 employees,Company - Private,0,0,1,0,0,0,1
96000.0,data scientist,unspecified,Toronto,BMO Financial Group,10000+ employees,Company - Public,1,0,1,1,0,1,0
96000.0,data scientist,senior,Vancouver,Unity Technologies,1001 to 5000 employees,Company - Private,1,0,0,1,1,0,0
96000.0,machine learning engineer,unspecified,Richmond Hill,Visual Defence Inc,51 to 200 employees,Company - Private,1,0,0,1,0,0,1
96000.0,research scientist,unspecified,Montreal,Facebook,10000+ employees,Company - Public,1,0,0,1,0,0,0
